4,400674,0.0018392655
3,400698,0.0010926301
5155,400697,0.0053363526
19,400681,0.0045972355
191893,400682,0.0017947197
7,400683,0.0057839234
15,400684,0.001046659
192148,400685,0.0034156214
192022,400686,0.0059327157
191926,400687,0.01158156
5,-1,
4,400674,0.0018392655
3,400698,0.0010926301
5155,400697,0.0053363526
19,400681,0.0045972355
191893,400682,0.0017947197
7,400683,0.0057839234
15,400684,0.001046659
192148,400685,0.0034156214
192022,400686,0.0059327157
191926,400687,0.01158156
5,400675,0.007237412
6,-1,
4,400674,0.0018392655
3,400698,0.0010926301
5155,400697,0.0053363526
19,400681,0.0045972355
191893,400682,0.0017947197
7,-1,
4,400674,0.0018392655
3,400699,0.0038118903
20,400677,0.0027192335
8,-1,
5,400675,0.007237412
6,-1,
5,400687,0.01158156
191926,400686,0.0059327157
192022,400685,0.0034156214
192148,400684,0.001046659
15,400683,0.0057839234
7,-1,
5,400687,0.01158156
191926,400686,0.0059327157
192022,400685,0.0034156214
192148,400684,0.001046659
15,400683,0.0057839234
7,400676,0.010037975
20,400677,0.0027192335
8,-1,
6,400675,0.007237412
5,400687,0.01158156
191926,400686,0.0059327157
192022,400685,0.0034156214
192148,400684,0.001046659
15,400683,0.0057839234
7,-1,
6,400675,0.007237412
5,400687,0.01158156
191926,400686,0.0059327157
192022,400685,0.0034156214
192148,400684,0.001046659
15,400683,0.0057839234
7,400676,0.010037975
20,400677,0.0027192335
8,-1,
7,400676,0.010037975
20,400677,0.0027192335
8,-1,
